a_age,a_gender,a_race,v_age,v_gender,v_race
36,M,White,56,M,White
32,M,Black or African American,36,F,Black or African American
14,M,White,47,M,Unknown
26,M,Black or African American,2,M,Black or African American
48,M,Black or African American,48,M,Black or African American
15,M,White,57,M,White
74,M,White,58,F,White
74,M,White,54,M,White
46,M,Black or African American,18,M,Black or African American
25,M,Black or African American,52,M,Black or African American
26,M,Black or African American,24,M,Black or African American
37,M,Black or African American,6,M,Black or African American
21,M,Black or African American,50,M,Black or African American
29,M,Black or African American,23,M,Black or African American
29,M,Black or African American,30,F,Black or African American
30,M,Black or African American,42,M,White
25,M,White,61,M,White
17,M,Black or African American,22,F,White
17,M,Black or African American,19,F,Black or African American
37,M,White,32,F,White
37,M,White,50,M,White
37,M,White,38,M,White
22,M,Black or African American,46,M,Black or African American
27,M,White,2,F,White
25,M,White,25,M,Black or African American
26,M,White,49,M,White
20,M,Black or African American,30,F,White
20,M,Black or African American,32,F,White
20,M,Black or African American,34,M,White
27,M,Black or African American,30,F,White
27,M,Black or African American,32,F,White
27,M,Black or African American,34,M,White
27,M,Black or African American,32,M,White
27,M,Black or African American,32,M,White
20,M,Black or African American,32,M,White
20,M,Black or African American,32,M,White
19,M,Black or African American,25,M,White
16,F,Black or African American,64,M,White
18,M,Black or African American,64,M,White
22,M,Black or African American,64,M,White
17,M,Black or African American,18,M,Black or African American
17,M,Black or African American,17,M,Black or African American
32,M,White,25,M,White
19,M,Black or African American,18,M,Black or African American
19,M,Black or African American,17,M,Black or African American
18,M,Black or African American,46,M,Black or African American
25,M,Black or African American,23,M,Black or African American
31,F,White,28,M,Black or African American
47,M,White,50,M,White
31,M,White,3,M,White
29,M,Black or African American,27,F,White
34,M,Black or African American,31,F,White
34,M,Black or African American,26,F,White
28,M,White,22,M,White
23,F,White,22,M,White
32,M,Black or African American,27,F,White
17,M,Black or African American,16,M,Black or African American
14,M,Black or African American,14,M,White
29,M,Black or African American,31,M,Black or African American
31,M,Black or African American,23,F,Black or African American
31,M,Black or African American,22,F,Black or African American
31,M,Black or African American,3,F,Black or African American
42,M,White,57,M,White
40,M,Black or African American,2,M,Black or African American
20,F,White,22,M,Black or African American
63,M,White,64,F,White
25,M,Black or African American,32,M,Black or African American
25,M,Black or African American,32,M,Black or African American
23,M,Black or African American,41,M,Black or African American
24,M,Unknown,25,M,White
59,M,Black or African American,54,F,White
